location,continent,date,population,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,total_cases_per_million,total_deaths_per_million,case_fatality_rate,total_cases_M,total_deaths_M
Scotland,Europe,2023-10-02,5466000,,,,,13014285.0,78.41,,,,,
Senegal,Africa,2024-08-04,17316452,89485.0,0.0,1971.0,0.0,3179647.0,8.93,5069.66,111.66,2.2,0.089,0.002
Serbia,Europe,2024-08-04,6871547,2583470.0,0.0,18057.0,0.0,8534688.0,47.71,380413.34,2658.88,0.7,2.583,0.018
Seychelles,Africa,2024-08-04,107135,51886.0,0.0,172.0,0.0,224558.0,78.0,413328.88,1370.17,0.33,0.052,0.0
Sierra Leone,Africa,2024-08-04,8605723,7979.0,0.0,125.0,0.0,9155936.0,57.66,964.02,15.1,1.57,0.008,0.0
Singapore,Asia,2024-08-04,5637022,3006155.0,0.0,2024.0,0.0,14727569.0,90.85,532073.56,358.24,0.07,3.006,0.002
Sint Maarten (Dutch part),North America,2024-08-04,44192,11051.0,0.0,92.0,0.0,66829.0,60.58,262101.84,2182.01,0.83,0.011,0.0
Slovakia,Europe,2024-08-04,5643455,1878002.0,61.0,21227.0,1.0,5754313.0,45.68,343127.25,3878.36,1.13,1.878,0.021
Slovenia,Europe,2024-08-04,2119843,1356582.0,148.0,10083.0,4.0,2996643.0,57.66,641340.2,4766.86,0.74,1.357,0.01
Solomon Islands,Oceania,2024-08-04,724272,25954.0,0.0,199.0,0.0,625956.0,35.12,33228.56,254.78,0.77,0.026,0.0
Somalia,Africa,2024-08-04,17597508,27334.0,0.0,1361.0,0.0,10555834.0,43.57,1535.46,76.45,4.98,0.027,0.001
South Africa,Africa,2024-08-04,59893884,4072765.0,0.0,102595.0,0.0,41798812.0,35.13,65291.25,1644.72,2.52,4.073,0.103
South Korea,Asia,2024-08-04,51815808,34571873.0,0.0,35934.0,0.0,129647782.0,85.64,667636.06,693.94,0.1,34.572,0.036
South Sudan,Africa,2024-08-04,10913172,18823.0,0.0,147.0,0.0,4365547.0,39.16,1707.89,13.34,0.78,0.019,0.0
Spain,Europe,2024-08-04,47558632,13980340.0,0.0,121852.0,0.0,105840320.0,85.66,292302.16,2547.69,0.87,13.98,0.122
